"Table 1: Time spent in eating, drinking, and associated activities, and percent of civilian population engaged in each activity on an average day in 2016, age 15 and older and age 18 and older",,,,,,,,,,,,
,,,,,,,,,,,,
,"Average minutes per day, civilian population",,,,Average percentage engaged in activity,,,,"Average minutes per day, for persons who engaged in the activity",,,
,Total,Men,Women,,Total,Men,Women,,Total,Men,Women,
Mean,,,,,,,,,,,,
Age 15 and older,,,,,,,,,,,,
Total time in primary eating & drinking,63.6,64.4,62.9,,94.7,94.5,95.0,,67.2,68.2,66.2,
Total time in associated activities ,6.8,6.8,6.8,,24.1,24.7,23.5,,28.2,27.4,29.0,
Secondary eating,17.2,16.8,17.5,,53.7,50.8,56.4,,32.0,33.2,31.1,
"Total time in primary eating & drinking, ",,,,,,,,,,,,
"associated activities, and secondary eating*",87.6,88.0,87.2,,99.0,99.0,99.0,,88.5,88.9,88.1,
,,,,,,,,,,,,
Age 18 and older,,,,,,,,,,,,
Total time in primary eating & drinking,64.1,65.1,63.2,,94.7,94.4,94.9,,67.7,68.9,66.6,
Total time in associated activities ,6.8,6.8,6.8,,23.8,24.4,23.2,,28.7,27.9,29.5,
Secondary eating,17.1,16.5,17.6,,53.1,49.9,56.1,,32.2,33.1,31.5,
"Total time in primary eating & drinking, ",,,,,,,,,,,,
"associated activities, and secondary eating*",88.0,88.4,87.7,,99.0,98.9,99.0,,88.9,89.4,88.5,
Standard Errors,,,,,,,,,,,,
Age 15 and older,,,,,,,,,,,,
Total time in primary eating & drinking,0.58,0.88,0.80,,0.33,0.50,0.42,,0.57,0.89,0.77,
Total time in associated activities ,0.24,0.33,0.37,,0.57,0.85,0.79,,0.82,1.04,1.29,
Secondary eating,0.91,1.62,1.01,,0.63,0.99,0.82,,1.63,3.03,1.77,
"Total time in primary eating & drinking, ",,,,,,,,,,,,
"associated activities, and secondary eating*",1.10,1.69,1.40,,0.12,0.21,0.18,,1.10,1.70,1.40,
,,,,,,,,,,,,
Age 18 and older,,,,,,,,,,,,
Total time in primary eating & drinking,0.61,0.92,0.83,,0.34,0.51,0.42,,0.60,0.94,0.80,
Total time in associated activities ,0.25,0.34,0.39,,0.58,0.86,0.80,,0.87,1.11,1.37,
Secondary eating,0.96,1.69,1.06,,0.63,0.99,0.83,,1.71,3.21,1.85,
"Total time in primary eating & drinking, ",,,,,,,,,,,,
"associated activities, and secondary eating*",1.14,1.75,1.48,,0.11,0.22,0.17,,1.14,1.76,1.48,
,,,,,,,,,,,,
Note:  A primary activity refers to an individual's main activity. Primary eating & drinking includes Eating and drinking (110101) and Eating and drinking as part of job (050202). Associated activities are Waiting associated with eating & drinking (110201) and Travel related to eating & drinking (181101). Travel times not included except in associated activities.,,,,,,,,,,,,
(*) Total time is calculated subtracting the overlap between secondary eating and assosciated activities.,,,,,,,,,,,,
"Source: USDA, Economic Research Service, using data from the Bureau of Labor Statistics’ 2016 American Time Use Survey (ATUS) and Eating and Health Module.",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
