"Table 2: Time spent in eating, drinking, and associated activities, and percent of civilian population engaged in each activity on an average day in 2016, by various subgroups",,,,,,,,,,,
,,,,,,,,,,,
,"Average minutes per day, civilian population",Percent of civilian population engaged in activity,"Average minutes per day, for persons engaged in activity","Average minutes per day, civilian population",Percent of civilian population engaged in activity,"Average minutes per day, for persons engaged in activity",,,,,
By age,Mean,,,Standard Errors ,,,,,,,
Age 15-17,,,,,,,,,,,
Total time in primary eating & drinking,54.8,95.2,57.5,2.07,1.26,2.07,,,,,
Total time in associated activities ,6.1,29.4,20.7,0.69,2.77,1.46,,,,,
Secondary eating,18.7,62.9,29.8,2.54,2.93,3.81,,,,,
,,,,,,,,,,,
Age 18-24,,,,,,,,,,,
Total time in primary eating & drinking,54.0,91.6,58.9,2.24,1.71,2.23,,,,,
Total time in associated activities ,7.2,29.1,24.8,0.82,2.50,1.77,,,,,
Secondary eating,23.2,57.5,40.4,6.57,2.97,10.83,,,,,
,,,,,,,,,,,
Age 25-64,,,,,,,,,,,
Total time in primary eating & drinking,63.6,94.6,67.3,0.68,0.35,0.66,,,,,
Total time in associated activities ,6.8,23.7,28.6,0.27,0.66,0.97,,,,,
Secondary eating,17.4,54.4,31.9,0.78,0.76,1.39,,,,,
,,,,,,,,,,,
Age 65 and older,,,,,,,,,,,
Total time in primary eating & drinking,72.0,97.1,74.2,1.16,0.40,1.12,,,,,
Total time in associated activities ,6.8,21.0,32.3,0.71,0.95,2.85,,,,,
Secondary Eating,12.6,46.0,27.3,0.72,1.39,1.26,,,,,
,,,,,,,,,,,
Age 15 and over,,,,,,,,,,,
By region,,,,,,,,,,,
Metropolitan,,,,,,,,,,,
Total time in primary eating,63.8,94.6,67.4,0.61,0.37,0.59,,,,,
Total time in associated activities ,6.9,24.3,28.6,0.27,0.64,0.90,,,,,
Secondary eating,17.5,54.5,32.0,0.71,0.68,1.27,,,,,
,,,,,,,,,,,
Nonmetropolitan,,,,,,,,,,,
Total time in primary eating,62.6,95.2,65.8,1.54,0.66,1.61,,,,,
Total time in associated activities ,5.9,23.1,25.6,0.46,1.44,1.40,,,,,
Secondary Eating,15.8,49.1,32.1,4.41,1.64,8.55,,,,,
,,,,,,,,,,,
No primary eating/drinking,,,,,,,,,,,
Total time in primary eating,0.0,0.0,0.0,0.00,NA,NA,,,,,
Total time in associated activities ,0.1,0.7,10.0,0.07,0.70,0.00,,,,,
Secondary eating,39.1,80.4,48.7,3.37,1.97,4.09,,,,,
,,,,,,,,,,,
Age 18 and older,,,,,,,,,,,
By region,,,,,,,,,,,
Metropolitan,,,,,,,,,,,
Total time in primary eating,64.3,94.6,68.0,0.65,0.38,0.63,,,,,
Total time in associated activities ,7.0,24.0,29.2,0.28,0.64,0.95,,,,,
Secondary eating,17.3,54.0,32.1,0.73,0.68,1.30,,,,,
,,,,,,,,,,,
Nonmetropolitan,,,,,,,,,,,
Total time in primary eating,63.2,95.2,66.4,1.60,0.69,1.69,,,,,
Total time in associated activities ,5.8,22.7,25.7,0.46,1.46,1.47,,,,,
Secondary eating,15.9,48.2,32.9,4.64,1.75,9.16,,,,,
,,,,,,,,,,,
No primary eating/drinking,,,,,,,,,,,
Total time in primary eating,0.0,0.0,NA,0.00,NA,NA,,,,,
Total time in associated activities ,0.1,0.8,10.0,0.07,0.74,0.00,,,,,
Secondary eating,39.7,80.5,49.4,3.47,1.97,4.23,,,,,
,,,,,,,,,,,
Note:  A primary activity refers to an individual's main activity. Primary eating & drinking includes Eating and drinking (110101) and Eating and drinking as part of job (050202). Associated activities are Waiting associated with eating & drinking (110201) and Travel related to eating & drinking (181101). Travel times not included except in associated activities.,,,,,,,,,,,
"Source: USDA, Economic Research Service, using data from the Bureau of Labor Statistics’ 2016 American Time Use Survey (ATUS) and Eating and Health Module.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
