"Table 3: Usual grocery shopper and usual meal preparer in the household, on an average day in 2016, age 18 and older",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Percent,Are you the person who usually does the grocery shopping?,,,,,,,,Are you the person who usually prepares the meals in household?,,,,,,,,,,,,
,Total,Men,Women,,Total,Men,Women,,Total,Men,Women,,Total,Men,Women,,,,,,
,Mean,,,,Standard Errors,,,,Mean,,,,Standard Errors,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
  Yes,54.5,36.4,71.3,,0.67,0.94,0.87,,55.6,35.8,73.8,,0.62,0.95,0.90,,,,,,
  No,31.2,46.1,17.4,,0.59,0.95,0.70,,33.0,50.8,16.5,,0.64,1.01,0.85,,,,,,
  Split equally,14.2,17.5,11.3,,0.47,0.73,0.58,,11.5,13.4,9.6,,0.40,0.64,0.49,,,,,,
,,,,,,,,,,,,,,,,,,,,,
By age,,,,,,,,,,,,,,,,,,,,,
Age 18-24,,,,,,,,,,,,,,,,,,,,,
  Yes,28.3,20.0,36.1,,2.37,3.16,3.64,,32.1,23.7,39.9,,2.69,3.72,3.93,,,,,,
  No,65.6,73.6,58.1,,2.47,3.17,3.89,,60.0,70.9,49.7,,2.90,3.66,4.44,,,,,,
  Split equally,6.1,6.4,5.8,,1.00,1.70,1.20,,8.0,5.4,10.4,,1.22,1.47,2.04,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Age 25-64,,,,,,,,,,,,,,,,,,,,,
  Yes,57.7,38.0,76.5,,0.78,1.12,0.93,,57.4,36.6,77.3,,0.70,1.11,0.87,,,,,,
  No,26.8,43.3,11.1,,0.62,1.04,0.66,,29.7,47.9,12.3,,0.66,1.13,0.76,,,,,,
  Split equally,15.5,18.7,12.4,,0.61,0.93,0.74,,12.9,15.6,10.4,,0.51,0.84,0.57,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Age 65 and older,,,,,,,,,,,,,,,,,,,,,
  Yes,59.3,40.9,74.2,,1.21,2.03,1.49,,63.4,40.6,81.9,,1.18,2.08,1.29,,,,,,
  No,25.9,39.3,14.9,,1.03,2.02,1.18,,28.1,49.0,11.3,,1.14,2.09,1.17,,,,,,
  Split equally,14.9,19.8,10.9,,0.95,1.60,1.08,,8.4,10.4,6.8,,0.77,1.30,0.90,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Source: USDA, Economic Research Service, using data from the Bureau of Labor Statistics’ 2016 American Time Use Survey (ATUS) and Eating and Health Module.",,,,,,,,,,,,,,,,,,,,,
