"Table 4: Fast food purchases (number of times) over previous 7 days, on an average day in 2016, for civilian population age 15 and older and age 18 and older who purchased fast food in the previous week",,,,,,,
,,,,,,,
,,Total,Men,Women,Total,Men,Women
,,Mean,,,Standard Errors,,
Age 15 and older,,,,,,,
Average number,number,2.8,3.1,2.5,0.05,0.08,0.05
One,percent,31.7,27.1,36.1,0.73,1.11,1.15
Two,percent,28.4,27.1,29.6,0.77,1.15,1.15
Three,percent,15.9,16.0,15.7,0.67,0.96,0.95
Four,percent,8.6,9.3,8.0,0.51,0.71,0.67
Five,percent,6.1,8.0,4.3,0.41,0.66,0.45
Six,percent,1.9,2.7,1.2,0.24,0.40,0.23
Seven,percent,4.0,5.4,2.7,0.34,0.63,0.32
Eight or more,percent,3.3,4.4,2.3,0.33,0.55,0.34
,,,,,,,
Age 18 and older,,,,,,,
Average number,number,2.8,3.2,2.5,0.05,0.09,0.06
One,percent,31.6,26.8,36.2,0.73,1.09,1.17
Two,percent,28.2,26.9,29.4,0.78,1.14,1.19
Three,percent,15.8,16.1,15.5,0.69,0.99,0.97
Four,percent,8.7,9.2,8.2,0.53,0.72,0.70
Five,percent,6.1,8.0,4.3,0.42,0.69,0.46
Six,percent,2.0,2.8,1.2,0.24,0.41,0.24
Seven,percent,4.2,5.7,2.8,0.36,0.67,0.33
Eight or more,percent,3.4,4.6,2.3,0.35,0.58,0.35
,,,,,,,
By age,,,,,,,
Age 15-17,,,,,,,
Average number,number,2.3,2.4,2.2,0.12,0.18,0.15
One,percent,33.6,32.7,34.8,4.43,6.31,6.08
Two,percent,33.0,31.8,34.4,4.06,5.81,5.74
Three,percent,16.9,14.2,20.2,3.23,4.24,4.95
Four,percent,7.6,11.3,3.2,1.79,2.94,1.64
Five,percent,6.4,7.7,4.9,1.92,2.98,2.20
Six,percent,0.8,1.0,0.5,0.51,0.85,0.47
Seven,percent,0.3,NA,0.6,0.28,NA,0.60
Eight or more,percent,1.4,1.4,1.4,0.85,1.34,0.97
,,,,,,,
Age 18-24,,,,,,,
Average number,number,3.2,3.4,3.0,0.15,0.22,0.23
One,percent,23.7,19.7,27.2,2.95,3.71,4.51
Two,percent,28.4,31.1,26.1,3.01,4.22,4.32
Three,percent,17.6,14.6,20.3,2.60,3.52,3.97
Four,percent,11.5,10.1,12.7,2.49,3.08,3.68
Five,percent,6.0,7.2,5.1,1.56,2.95,1.65
Six,percent,1.0,0.8,1.1,0.43,0.62,0.60
Seven,percent,8.7,13.5,4.5,1.74,3.15,1.64
Eight or more,percent,3.0,2.9,3.1,0.85,1.07,1.33
,,,,,,,
Age 25-64,,,,,,,
Average number,number,2.9,3.3,2.6,0.06,0.11,0.06
One,percent,30.0,26.0,33.9,0.81,1.14,1.26
Two,percent,28.7,26.0,31.4,0.92,1.24,1.45
Three,percent,16.3,17.0,15.7,0.73,1.13,0.97
Four,percent,8.5,9.2,7.8,0.51,0.80,0.63
Five,percent,6.7,9.0,4.4,0.49,0.78,0.52
Six,percent,2.3,3.2,1.5,0.30,0.50,0.30
Seven,percent,3.5,4.3,2.7,0.33,0.53,0.41
Eight or more,percent,4.0,5.4,2.6,0.44,0.73,0.43
,,,,,,,
Age 65 and older,,,,,,,
Average number,number,2.1,2.5,1.9,0.06,0.11,0.06
One,percent,47.8,38.8,55.2,1.75,2.71,2.70
Two,percent,25.4,27.8,23.5,1.79,2.99,2.20
Three,percent,11.4,12.7,10.4,1.17,1.86,1.57
Four,percent,7.0,8.3,6.0,0.90,1.52,1.13
Five,percent,3.0,3.0,3.1,0.65,0.95,0.87
Six,percent,1.5,2.9,0.3,0.54,1.17,0.18
Seven,percent,3.2,5.4,1.4,0.74,1.45,0.56
Eight or more,percent,0.6,1.2,0.1,0.26,0.56,0.10
,,,,,,,
"Source: USDA, Economic Research Service, using data from the Bureau of Labor Statistics’ 2016 American Time Use Survey (ATUS) and Eating and Health Module.",,,,,,,
