"Table 6: Time spent in selected activities by usual meal preparer status, on an average day in 2016, age 18 and older",,,,,,,,,,,,
,,,,,,,,,,,,
,Average minutes per day spent in selected food-related and other activities,,,,,,,,,,,
,Grocery shopping,"Grocery shopping, only those who grocery shop",Food preparation and cleanup,Primary eating and drinking,Secondary eating,Paid work,Travel,Sleeping,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Mean,,,,,,,,,,,,
Are you the usual person who does the meal preparation in the household?,,,,,,,,,,,,
  Yes,7.7,44.9,50.2,63.1,17.8,183.1,71.3,524.7,,,,
  No,3.8,46.4,15.3,66.1,16.5,238.4,76.1,527.5,,,,
  Split equally,7.1,40.4,33.7,63.6,15.8,244.0,73.5,509.0,,,,
,,,,,,,,,,,,
By gender,,,,,,,,,,,,
Men,,,,,,,,,,,,
Are you the usual person who does the meal preparation in the household?,,,,,,,,,,,,
  Yes,5.8,41.5,31.4,62.9,16.4,233.5,72.9,522.6,,,,
  No,3.4,44.6,13.1,67.1,17.2,258.3,77.9,521.6,,,,
  Split equally,5.9,35.5,28.8,63.7,14.6,294.5,77.3,485.6,,,,
,,,,,,,,,,,,
Women,,,,,,,,,,,,
Are you the usual person who does the meal preparation in the household?,,,,,,,,,,,,
  Yes,8.6,46.0,58.6,63.2,18.4,160.6,70.5,525.6,,,,
  No,5.0,50.4,21.6,63.2,14.5,182.3,71.2,544.3,,,,
  Split equally,8.6,46.1,40.1,63.4,17.3,179.1,68.5,539.0,,,,
Standard Errors,,,,,,,,,,,,
Are you the usual person who does the meal preparation in the household?,,,,,,,,,,,,
  Yes,0.35,1.04,0.90,0.79,0.99,3.45,1.21,2.19,,,,
  No,0.36,2.58,0.81,1.24,2.38,6.71,1.93,3.76,,,,
  Split equally,0.67,2.41,1.91,1.93,1.35,11.13,2.42,5.16,,,,
,,,,,,,,,,,,
By gender,,,,,,,,,,,,
Men,,,,,,,,,,,,
Are you the usual person who does the meal preparation in the household?,,,,,,,,,,,,
  Yes,0.47,2.04,1.36,1.34,1.39,7.66,2.58,4.18,,,,
  No,0.36,3.00,0.82,1.44,3.17,7.53,2.13,4.07,,,,
  Split equally,0.80,2.38,2.36,2.42,1.90,15.47,3.58,6.65,,,,
,,,,,,,,,,,,
Women,,,,,,,,,,,,
Are you the usual person who does the meal preparation in the household?,,,,,,,,,,,,
  Yes,0.46,1.27,1.17,0.92,1.35,4.02,1.47,2.50,,,,
  No,0.80,5.19,1.86,2.26,1.69,11.42,3.68,6.94,,,,
  Split equally,1.15,4.02,3.31,3.03,1.98,13.58,3.25,7.62,,,,
,,,,,,,,,,,,
"Note:  A primary activity refers to an individual's main activity. The activity code for Grocery shopping is 070101; and the codes for Food preparation and cleanup are 020201, 020202, 020203, and 020299. Primary eating & drinking includes Eating and drinking (110101) and Eating and drinking as part of job (050202). Paid work includes all 05xxxx activities except activity 050202; Travel includes all 18xxxx activities; and Sleeping includes activities 010101, 010102, and 010199.  ",,,,,,,,,,,,
"Source: USDA, Economic Research Service, using data from the Bureau of Labor Statistics’ 2016 American Time Use Survey (ATUS) and Eating and Health Module.",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
