"Table 7: Average minutes per day spent in selected food-related and other activities, on an average day in 2016, age 18 and older",,,,,,
,,,,,,
Minutes,Grocery shopping,Grocery shopping participant rate (percent),"Grocery shopping, only those who grocery shop",Food preparation and cleanup,Primary eating and drinking,Secondary eating
Mean,,,,,,
By food sufficiency status,,,,,,
Which statement best describes the amount of food eaten in your household in the last 30 days?,,,,,,
Enough to eat,6.4,14.3%,44.6,36.5,64.9,16.8
Sometimes not enough to eat or often not enough to eat,6.1,—,—,43.7,50.7,22.8
,,,,,,
By household participation in SNAP,,,,,,
"In the past 30 days, did you or any member of this household receive SNAP benefits?",,,,,,
  Yes,6.1,14.3%,43.0,48.4,53.5,16.4
  No,6.4,14.3%,44.8,35.6,65.3,17.2
,,,,,,
By household participation in WIC,,,,,,
"In the past 30 days, did you or any member of your household receive WIC benefits?",,,,,,
  Yes,8.0,—,—,58.4,60.1,14.3
  No,6.0,13.8%,43.3,35.9,62.2,18.0
,,,,,,
By household income level,,,,,,
"Last month, was your total household income before taxes more or less than/equal to [amount] per month?, [amount] is 185 percent of poverty threshold for respondent’s household size.",,,,,,
More,6.4,14.6%,44.0,32.3,67.2,17.9
Less than or equal to,6.3,14.0%,44.9,45.1,57.5,15.6
Standard Errors,,,,,,
By food sufficiency status,,,,,,
Which statement best describes the amount of food eaten in your household in the last 30 days?,,,,,,
Enough to eat,0.23,0.42,0.92,0.66,0.64,0.98
Sometimes not enough to eat or Often not enough to eat,1.16,—,—,3.04,2.06,5.45
,,,,,,
By household participation in SNAP,,,,,,
"In the past 30 days, did you or any member of this household receive SNAP benefits?",,,,,,
  Yes,0.73,1.33,3.03,2.34,1.43,2.27
  No,0.23,0.43,0.94,0.68,0.66,1.05
,,,,,,
By household participation in WIC,,,,,,
"In the past 30 days, did you or any member of your household receive WIC benefits?",,,,,,
  Yes,1.55,—,—,4.08,2.69,4.25
  No,0.27,0.53,1.24,0.93,0.82,1.08
,,,,,,
By household income level,,,,,,
"Last month, was your total household income before taxes more or less than/equal to [amount] per month?, [amount] is 185 percent of poverty threshold for respondent’s household size.",,,,,,
More,0.30,0.57,1.09,0.84,0.73,0.88
Less than or equal to,0.37,0.70,1.77,1.26,0.98,2.34
— = suppressed due to small cell size.,,,,,,
"Notes:  A primary activity refers to an individual's main activity. The activity code for Grocery shopping is 070101; and the codes for Food preparation and cleanup are 020201, 020202, 020203, and 020299. Primary eating & drinking includes Eating and drinking (110101) and Eating and drinking as part of job (050202).   ",,,,,,
"Data are for individuals, age 18 and older.",,,,,,
"Source: USDA, Economic Research Service, using data from the Bureau of Labor Statistics’ 2016 American Time Use Survey (ATUS) and Eating and Health Module.",,,,,,
,,,,,,
