"Table 8: Average minutes per day spent in selected food-related and other activities, on an average day in 2016, age 20 and older",,,,,,,,
,,,,,,,,
Minutes,Grocery shopping and meal prep,Primary eating  and drinking,Secondary eating,Travel,Paid work,Sleep,Watching TV and movies,Sports and exercise
Mean,,,,,,,,
All BMI groups,43.9,64.4,17.1,72.9,211.4,521.8,168.4,17.3
,,,,,,,,
By BMI group,,,,,,,,
Underweight,—,—,—,—,—,—,—,—
Normal weight,44.0,68.7,19.5,75.0,205.5,524.2,149.1,20.9
Overweight,43.4,64.1,15.9,73.7,217.4,518.7,169.7,18.4
Obese,43.2,61.5,15.2,72.2,212.4,520.0,187.1,13.6
,,,,,,,,
By gender,,,,,,,,
Men,,,,,,,,
Underweight,—,—,—,—,—,—,—,—
Normal weight,25.6,68.2,21.1,78.0,251.8,522.4,172.5,21.6
Overweight,28.5,67.0,15.7,73.6,256.6,514.7,176.7,22.4
Obese,25.4,62.7,14.4,78.7,258.8,509.6,197.9,19.9
,,,,,,,,
Women,,,,,,,,
Underweight,—,—,—,—,—,—,—,—
Normal weight,56.3,69.0,18.4,73.1,174.6,525.4,133.5,20.5
Overweight,64.3,60.0,16.2,73.8,162.7,524.4,160.1,12.9
Obese,60.9,60.4,16.0,65.7,166.1,530.3,176.2,7.2
Standard Errors,,,,,,,,
All BMI groups,0.65,0.60,0.98,0.98,2.81,1.82,2.23,0.68
,,,,,,,,
By BMI group,,,,,,,,
Underweight,—,—,—,—,—,—,—,—
Normal weight,1.20,1.26,2.81,1.81,6.32,3.23,3.95,1.16
Overweight,1.33,1.04,0.93,1.89,5.63,2.93,3.56,1.02
Obese,1.47,1.21,1.11,2.07,6.58,3.55,4.03,1.53
,,,,,,,,
By gender,,,,,,,,
Men,,,,,,,,
Underweight,—,—,—,—,—,—,—,—
Normal weight,1.41,2.16,6.27,2.59,10.73,5.94,7.67,1.73
Overweight,1.27,1.47,1.18,2.34,7.84,4.28,5.08,1.57
Obese,1.41,1.86,1.49,3.26,10.18,4.51,6.08,3.01
,,,,,,,,
Women,,,,,,,,
Underweight,—,—,—,—,—,—,—,—
Normal weight,1.70,1.46,2.05,2.36,7.04,4.05,4.05,1.57
Overweight,2.75,1.34,1.65,2.80,8.03,3.71,4.91,1.14
Obese,2.50,1.38,1.45,2.44,8.79,5.25,5.16,0.70
— = suppressed due to small cell size.,,,,,,,,
"Note:  A primary activity refers to an individual's main activity. The activity code for Grocery shopping is 070101; and the codes for Food preparation and cleanup are 020201, 020202, 020203, and 020299. Primary eating & drinking includes Eating and drinking (110101) and Eating and drinking as part of job (050202). Travel includes all 18xxxx activities; Paid work includes all 05xxxx activities except activity 050202; Sleeping includes activities 010101, 010102, and 010199; Watching TV includes activities 120303 and 120304; and Sports and exercise includes all 1301xx activities.",,,,,,,,
"Source:  USDA, Economic Research Service, using data from the Bureau of Labor Statistics’ 2016 American Time Use Survey (ATUS) and Eating and Health Module.",,,,,,,,
,,,,,,,,
