Year,Variable,Unit,Commodity,Population,Production,Imports,Beginning stocks,Supply,Net change in stocks,Exports,Ending stocks,Amount,Pcc Instant (Green Bean Equivalent) Amount,Pcc Instant (Retail) Amount,Pcc Regular (Green Bean Equivalent) Amount,Pcc Regular (Retail) Amount,Pcc Total (Green Bean Equivalent) Amount,Pcc Total (Retail) Amount,Pcc Dry Leaf Equivalent,Pcc Bean Equivalent,Pcc Chocolate Liquor Equivalent
1970,Coffee Tea Cocoa,Pounds,Coffee,205.052,6,2667,,2673,-161,39,,2795,0.15,0.680852906,11.58608548,9.732311804,13.6306888,10.41316471,,,
1971,Coffee Tea Cocoa,Pounds,Coffee,207.661,4,2942,,2946,186,36,,2724,0.17,0.742583538,10.88755231,9.145543939,13.1175329,9.888127477,,,
1972,Coffee Tea Cocoa,Pounds,Coffee,209.896,4,2874,,2878,-44,53,,2869,0.17,0.773783636,11.34499943,9.52979952,13.66867401,10.30358316,,,
1973,Coffee Tea Cocoa,Pounds,Coffee,211.909,3,2977,,2980,63,64,,2853,0.19,0.851824651,10.90529425,9.160447173,13.46332624,10.01227182,,,
1974,Coffee Tea Cocoa,Pounds,Coffee,213.854,2,2603,,2605,-182,52,,2735,0.2,1.023127928,10.23127928,8.594274599,12.7890991,9.617402527,,,
1975,Coffee Tea Cocoa,Pounds,Coffee,215.973,2,2767,,2769,71,72,,2626,0.19,0.924078473,9.848731091,8.272934117,12.15892727,9.19701259,,,
1976,Coffee Tea Cocoa,Pounds,Coffee,218.035,2,2718,,2720,-66,55,,2731,0.2,1.002040957,10.02040957,8.417144037,12.52551196,9.419184993,,,
1977,Coffee Tea Cocoa,Pounds,Coffee,220.239,2,1992,,1994,-148,81,,2061,0.22,0.823505374,7.299252176,6.131371828,9.35801561,6.954877202,,,
1978,Coffee Tea Cocoa,Pounds,Coffee,222.585,2,2495,,2497,87,63,,2347,0.2,0.843542916,8.435429162,7.085760496,10.54428645,7.929303412,,,
1979,Coffee Tea Cocoa,Pounds,Coffee,225.055,2,2656,,2658,23,83,,2552,0.19,0.861798227,9.184954789,7.715362023,11.33945036,8.57716025,,,
1980,Coffee Tea Cocoa,Pounds,Coffee,227.726,2,2443,,2445,42,65,,2338,0.21,0.86240482,8.110711996,6.812998077,10.26672405,7.675402896,,,
1981,Coffee Tea Cocoa,Pounds,Coffee,229.966,2,2248,,2250,-121,73,,2298,0.21,0.839393649,7.894297418,6.631209831,9.992781542,7.470603481,,,
1982,Coffee Tea Cocoa,Pounds,Coffee,232.188,2,2352,,2354,-8,60,,2302,0.22,0.872465416,7.733216187,6.495901597,9.914379727,7.368367013,,,
1983,Coffee Tea Cocoa,Pounds,Coffee,234.307,2,2439,,2441,35,50,,2356,0.22,0.884856193,7.843043528,6.588156564,10.05518401,7.473012757,,,
1984,Coffee Tea Cocoa,Pounds,Coffee,236.348,2,2411,,2413,-50,45,,2418,0.22,0.900299558,7.979927903,6.703139438,10.2306768,7.603438997,,,
1985,Coffee Tea Cocoa,Pounds,Coffee,238.466,2,2551,,2553,11,43,,2499,0.22,0.922194359,8.173995454,6.866156182,10.47948135,7.788350541,,,
1986,Coffee Tea Cocoa,Pounds,Coffee,240.651,2,2644,,2646,73,45,,2528,0.22,0.924425828,8.193774387,6.882770485,10.50483896,7.807196313,,,
1987,Coffee Tea Cocoa,Pounds,Coffee,242.804,1.8,2690,,2691.8,162.858194,47,,2481.941806,0.22,0.899535753,7.973157809,6.69745256,10.22199719,7.596988312,,,
1988,Coffee Tea Cocoa,Pounds,Coffee,245.021,2,2072,,2074,-372.40946,42,,2404.40946,0.215,0.843924454,7.703263908,6.470741683,9.813075043,7.314666137,,,
1989,Coffee Tea Cocoa,Pounds,Coffee,247.342,3.2,2685.708614,,2688.908614,140.144744,57.512085,,2491.251785,0.21,0.846055866,7.956953975,6.683841339,10.07209364,7.529897205,,,
1990,Coffee Tea Cocoa,Pounds,Coffee,250.132,2.8,2716.192766,,2718.992766,81.31981,54.576569,,2583.096387,0.205,0.8468085,8.209911677,6.896325809,10.32693293,7.743134309,,,
1991,Coffee Tea Cocoa,Pounds,Coffee,253.493,2.8,2554.693601,,2557.493601,-117.640032,62.251628,,2612.882005,0.2,0.824600918,8.246009176,6.926647708,10.30751147,7.751248625,,,
1992,Coffee Tea Cocoa,Pounds,Coffee,256.894,2.4,2942.795261,,2945.195261,287.080844,98.938724,,2559.175693,0.195,0.777035291,8.019402683,6.736298254,9.961990911,7.513333545,,,
1993,Coffee Tea Cocoa,Pounds,Coffee,260.255,2.9,2444.618094,,2447.518094,-16.627497,119.676622,,2344.468969,0.19,0.684634845,7.296766114,6.129283535,9.008353227,6.813918381,,,
1994,Coffee Tea Cocoa,Pounds,Coffee,263.436,4.3,2048.175538,,2052.475538,-227.89199,148.140753,,2132.226775,0.185,0.5989492,6.596535104,5.541089487,8.093908103,6.140038687,,,
1995,Coffee Tea Cocoa,Pounds,Coffee,266.557,5.4,2250.874182,,2256.274182,44.36330825,111.9108737,,2100,0.18,0.567233275,6.460156739,5.426531661,7.878239926,5.993764936,,,
1996,Coffee Tea Cocoa,Pounds,Coffee,269.667,6.4,2559.257671,,2565.657671,83.03280988,133.5264316,,2349.09843,0.175,0.609777578,7.18666431,6.03679802,8.711108254,6.646575598,,,
