Commodity,Year,Attribute,Value
Refined cane and beet sugar: Per capita availability adjusted for loss,1970,Primary weight-Lbs/year,101.7567279
Refined cane and beet sugar: Per capita availability adjusted for loss,1971,Primary weight-Lbs/year,102.1164661
Refined cane and beet sugar: Per capita availability adjusted for loss,1972,Primary weight-Lbs/year,102.2936504
Refined cane and beet sugar: Per capita availability adjusted for loss,1973,Primary weight-Lbs/year,100.8103328
Refined cane and beet sugar: Per capita availability adjusted for loss,1974,Primary weight-Lbs/year,95.66313431
Refined cane and beet sugar: Per capita availability adjusted for loss,1975,Primary weight-Lbs/year,89.15963924
Refined cane and beet sugar: Per capita availability adjusted for loss,1976,Primary weight-Lbs/year,93.38293239
Refined cane and beet sugar: Per capita availability adjusted for loss,1977,Primary weight-Lbs/year,94.19673351
Refined cane and beet sugar: Per capita availability adjusted for loss,1978,Primary weight-Lbs/year,91.4404431
Refined cane and beet sugar: Per capita availability adjusted for loss,1979,Primary weight-Lbs/year,89.33226499
Refined cane and beet sugar: Per capita availability adjusted for loss,1980,Primary weight-Lbs/year,83.63059033
Refined cane and beet sugar: Per capita availability adjusted for loss,1981,Primary weight-Lbs/year,79.40222939
Refined cane and beet sugar: Per capita availability adjusted for loss,1982,Primary weight-Lbs/year,73.68344279
Refined cane and beet sugar: Per capita availability adjusted for loss,1983,Primary weight-Lbs/year,70.29678173
Refined cane and beet sugar: Per capita availability adjusted for loss,1984,Primary weight-Lbs/year,66.65286369
Refined cane and beet sugar: Per capita availability adjusted for loss,1985,Primary weight-Lbs/year,62.72960718
Refined cane and beet sugar: Per capita availability adjusted for loss,1986,Primary weight-Lbs/year,60.0474018
Refined cane and beet sugar: Per capita availability adjusted for loss,1987,Primary weight-Lbs/year,62.37868566
Refined cane and beet sugar: Per capita availability adjusted for loss,1988,Primary weight-Lbs/year,62.06601326
Refined cane and beet sugar: Per capita availability adjusted for loss,1989,Primary weight-Lbs/year,62.75317304
Refined cane and beet sugar: Per capita availability adjusted for loss,1990,Primary weight-Lbs/year,64.37722378
Refined cane and beet sugar: Per capita availability adjusted for loss,1991,Primary weight-Lbs/year,63.57527762
Refined cane and beet sugar: Per capita availability adjusted for loss,1992,Primary weight-Lbs/year,64.21791191
Refined cane and beet sugar: Per capita availability adjusted for loss,1993,Primary weight-Lbs/year,63.819507
Refined cane and beet sugar: Per capita availability adjusted for loss,1994,Primary weight-Lbs/year,64.36704448
Refined cane and beet sugar: Per capita availability adjusted for loss,1995,Primary weight-Lbs/year,64.92004666
Refined cane and beet sugar: Per capita availability adjusted for loss,1996,Primary weight-Lbs/year,65.02252375
Refined cane and beet sugar: Per capita availability adjusted for loss,1997,Primary weight-Lbs/year,64.87859393
Refined cane and beet sugar: Per capita availability adjusted for loss,1998,Primary weight-Lbs/year,64.93017593
Refined cane and beet sugar: Per capita availability adjusted for loss,1999,Primary weight-Lbs/year,66.28984697
Refined cane and beet sugar: Per capita availability adjusted for loss,2000,Primary weight-Lbs/year,65.52551427
Refined cane and beet sugar: Per capita availability adjusted for loss,2001,Primary weight-Lbs/year,64.45732813
Refined cane and beet sugar: Per capita availability adjusted for loss,2002,Primary weight-Lbs/year,63.2046456
Refined cane and beet sugar: Per capita availability adjusted for loss,2003,Primary weight-Lbs/year,60.84966161
Refined cane and beet sugar: Per capita availability adjusted for loss,2004,Primary weight-Lbs/year,61.53276198
Refined cane and beet sugar: Per capita availability adjusted for loss,2005,Primary weight-Lbs/year,62.95938814
Refined cane and beet sugar: Per capita availability adjusted for loss,2006,Primary weight-Lbs/year,62.11451308
Refined cane and beet sugar: Per capita availability adjusted for loss,2007,Primary weight-Lbs/year,61.12388907
Refined cane and beet sugar: Per capita availability adjusted for loss,2008,Primary weight-Lbs/year,65.03478114
Refined cane and beet sugar: Per capita availability adjusted for loss,2009,Primary weight-Lbs/year,63.36281051
Refined cane and beet sugar: Per capita availability adjusted for loss,2010,Primary weight-Lbs/year,65.915045
Refined cane and beet sugar: Per capita availability adjusted for loss,2011,Primary weight-Lbs/year,65.87858678
Refined cane and beet sugar: Per capita availability adjusted for loss,2012,Primary weight-Lbs/year,66.62762678
Refined cane and beet sugar: Per capita availability adjusted for loss,2013,Primary weight-Lbs/year,67.98981733
Refined cane and beet sugar: Per capita availability adjusted for loss,2014,Primary weight-Lbs/year,68.42939074
Refined cane and beet sugar: Per capita availability adjusted for loss,2015,Primary weight-Lbs/year,69.02261729
Refined cane and beet sugar: Per capita availability adjusted for loss,2016,Primary weight-Lbs/year,69.60147594
